"29.643352, -82.320989"
"29.643035, -82.320951"
"29.643013, -82.320771"
"29.642957, -82.320844"
"29.643142, -82.321233"
"29.642944, -82.321413"
"29.642541, -82.321832"
"29.642132, -82.322249"
"29.641738, -82.322658"
"29.641398, -82.323006"
"29.641299, -82.322950"
"29.641266, -82.322858"
"29.640629, -82.322990"
"29.640121, -82.322987"
"29.640111, -82.322979"
"29.640597, -82.322207"
"29.640687, -82.322002"
"29.640693, -82.321898"
"29.640888, -82.321672"
"29.640951, -82.321525"
"29.641093, -82.321177"
"29.641144, -82.321036"
"29.641238, -82.320787"
"29.641333, -82.320521"
"29.641428, -82.320312"